uid	sid	3
69	21620	cart
69	3671	cart
69	28540	cart
69	24659	cart
69	32261	cart
69	12796	cart
71	16493	cart
72	33381	cart
72	24769	cart
72	30579	cart
72	26610	cart
72	32196	cart
72	34448	cart
72	33358	cart
72	9836	cart
72	19275	cart
72	22001	cart
72	32493	cart
72	35393	cart
73	1443	cart
73	2360	cart
73	33807	cart
74	5627	cart
74	36808	cart
74	14824	cart
74	34759	cart
74	11977	cart
74	1035	cart
74	7153	cart
74	39106	cart
74	26348	cart
74	829	cart
74	14256	cart
74	1529	cart
74	22975	cart
75	25013	cart
75	4489	cart
75	20573	cart
77	32827	cart
77	29071	cart
77	5940	cart
77	38278	cart
77	17336	cart
77	2184	cart
77	29431	cart
77	31532	cart
77	12792	cart
77	20048	cart
77	1678	cart
77	27474	cart
78	30219	cart
78	19195	cart
79	26422	cart
79	38049	cart
79	6774	cart
81	25439	cart
81	19353	cart
82	28793	cart
82	19880	cart
82	20534	cart
82	4845	cart
82	33364	cart
82	19929	cart
83	35498	cart
83	21134	cart
83	13663	cart
83	34692	cart
83	7372	cart
84	7989	cart
85	23210	cart
85	14995	cart
85	17654	cart
86	7112	cart
86	1162	cart
87	30973	cart
87	39110	cart
87	20370	cart
87	14021	cart
87	35995	cart
87	32307	cart
87	16811	cart
87	748	cart
87	26091	cart
87	11430	cart
87	17925	cart
87	26774	cart
87	19753	cart
87	29954	cart
87	32640	cart
87	16765	cart
87	28022	cart
87	33329	cart
87	16056	cart
87	24515	cart
87	7236	cart
87	37120	cart
87	38265	cart
87	11070	cart
87	4919	cart
87	31771	cart
87	31856	cart
89	19340	cart
89	3870	cart
91	18179	cart
91	18367	cart
91	29258	cart
92	31202	cart
92	5318	cart
92	28735	cart
92	4238	cart
92	38625	cart
92	3247	cart
92	23711	cart
92	19207	cart
92	27143	cart
92	10699	cart
92	20894	cart
92	6955	cart
93	2729	cart
93	32344	cart
93	21169	cart
93	31004	cart
95	28756	cart
96	580	cart
97	22944	cart
97	2403	cart
97	20942	cart
97	12498	cart
97	1207	cart
97	9512	cart
97	10737	cart
97	29119	cart
97	24122	cart
97	18714	cart
97	31611	cart
97	3996	cart
97	13015	cart
98	21160	cart
98	19617	cart
99	6300	cart
99	6173	cart
99	36148	cart
101	14298	cart
101	9587	cart
101	5320	cart
101	15983	cart
101	14087	cart
101	26648	cart
101	30399	cart
102	21042	cart
102	11120	cart
103	38717	cart
105	23540	cart
107	19634	cart
107	33979	cart
107	10945	cart
107	16048	cart
109	3736	cart
109	10751	cart
109	39320	cart
110	4990	cart
110	30015	cart
111	34877	cart
111	12333	cart
111	25962	cart
111	16735	cart
112	22860	cart
112	38265	cart
112	30379	cart
112	33565	cart
112	16680	cart
112	3548	cart
114	25859	cart
114	18487	cart
114	36542	cart
114	2316	cart
114	9181	cart
114	5748	cart
114	34678	cart
116	24985	cart
116	27259	cart
116	38120	cart
116	1777	cart
116	26560	cart
116	38255	cart
116	12844	cart
117	36250	cart
118	13346	cart
118	17401	cart
118	19421	cart
118	14990	cart
118	9469	cart
118	30605	cart
118	9871	cart
118	30698	cart
118	19747	cart
119	5486	cart
119	3200	cart
119	3803	cart
119	12943	cart
119	4182	cart
119	20183	cart
120	19806	cart
121	32241	cart
121	11798	cart
121	19093	cart
121	3731	cart
121	9986	cart
121	28316	cart
122	14361	cart
123	5266	cart
123	13037	cart
123	32674	cart
123	7012	cart
123	17748	cart
124	14140	cart
124	8721	cart
125	36226	cart
126	5673	cart
126	35799	cart
126	8862	cart
127	35639	cart
127	23529	cart
127	38765	cart
127	20486	cart
127	38468	cart
127	257	cart
127	5167	cart
127	33486	cart
128	14879	cart
128	7580	cart
128	33151	cart
128	16496	cart
128	23141	cart
128	26572	cart
128	27937	cart
128	632	cart
128	1613	cart
128	11048	cart
128	27400	cart
128	17434	cart
128	11523	cart
128	4595	cart
128	28912	cart
128	5883	cart
128	17373	cart
128	19480	cart
128	9070	cart
128	23418	cart
128	1705	cart
130	12521	cart
130	18281	cart
130	33549	cart
130	20710	cart
130	28666	cart
130	20331	cart
130	20122	cart
130	16071	cart
130	20629	cart
131	11477	cart
131	31398	cart
131	30275	cart
131	18414	cart
131	25283	cart
131	14616	cart
131	15764	cart
131	23040	cart
131	32457	cart
131	1154	cart
131	26470	cart
131	19938	cart
131	9841	cart
131	23772	cart
131	8134	cart
131	22733	cart
132	9811	cart
133	28007	cart
133	19800	cart
133	35595	cart
133	30457	cart
133	26149	cart
133	6467	cart
133	21237	cart
133	7995	cart
133	3209	cart
133	21511	cart
133	5311	cart
133	37246	cart
133	34745	cart
133	16141	cart
133	15593	cart
134	23780	cart
134	10229	cart
134	5886	cart
134	9281	cart
134	19456	cart
134	1863	cart
134	35592	cart
134	30693	cart
134	22031	cart
135	38150	cart
135	23533	cart
135	6024	cart
135	6782	cart
135	7672	cart
135	18940	cart
135	29826	cart
135	29391	cart
135	19644	cart
135	32366	cart
137	25261	cart
137	25402	cart
137	8110	cart
137	37743	cart
137	32572	cart
137	32184	cart
138	34999	cart
138	34103	cart
138	6975	cart
138	32738	cart
138	6246	cart
138	5580	cart
138	15366	cart
140	31214	cart
140	10076	cart
140	26247	cart
141	8393	cart
141	16056	cart
141	17055	cart
141	22641	cart
141	8482	cart
142	25324	cart
142	26037	cart
142	20043	cart
142	22262	cart
142	35265	cart
142	18744	cart
142	35939	cart
142	34892	cart
143	29462	cart
143	19663	cart
143	24480	cart
143	35998	cart
143	7770	cart
143	11980	cart
144	35775	cart
144	7502	cart
145	33495	cart
145	33963	cart
145	23280	cart
145	38788	cart
145	22232	cart
145	7714	cart
145	591	cart
145	23883	cart
145	5095	cart
145	8950	cart
145	25251	cart
145	10634	cart
145	29644	cart
145	7111	cart
145	12225	cart
145	38859	cart
145	10281	cart
145	20617	cart
145	14755	cart
145	25029	cart
145	18392	cart
145	8557	cart
145	18330	cart
145	17023	cart
145	36151	cart
145	19043	cart
145	11786	cart
145	6030	cart
145	21738	cart
145	14517	cart
145	38481	cart
145	14699	cart
146	18452	cart
147	35687	cart
147	5361	cart
147	19177	cart
147	14031	cart
149	22267	cart
149	7755	cart
149	34686	cart
149	37704	cart
149	6978	cart
149	25288	cart
149	17800	cart
149	5608	cart
150	27994	cart
151	5055	cart
151	14496	cart
151	5038	cart
151	38956	cart
151	25514	cart
152	33973	cart
154	33736	cart
154	31352	cart
154	37228	cart
155	14690	cart
155	31824	cart
155	37163	cart
155	2188	cart
156	9073	cart
156	17095	cart
156	27356	cart
156	19534	cart
156	23937	cart
157	31163	cart
158	18007	cart
158	11000	cart
158	37319	cart
158	31707	cart
158	30338	cart
159	1313	cart
160	6157	cart
160	24771	cart
160	37878	cart
160	21591	cart
160	20968	cart
160	5041	cart
160	3686	cart
161	15861	cart
162	5388	cart
162	15721	cart
162	33578	cart
164	8222	cart
164	10835	cart
164	26255	cart
164	31902	cart
165	31576	cart
165	3204	cart
165	29960	cart
165	3543	cart
166	22213	cart
166	12892	cart
166	1163	cart
166	30092	cart
166	37144	cart
167	33728	cart
167	6219	cart
167	11777	cart
167	20109	cart
169	19923	cart
169	12309	cart
169	12372	cart
169	36523	cart
169	14479	cart
169	13877	cart
169	33541	cart
169	24050	cart
169	32281	cart
169	37047	cart
169	17856	cart
169	10876	cart
169	22345	cart
169	25142	cart
169	22619	cart
169	7087	cart
169	21071	cart
169	32723	cart
169	36813	cart
170	23473	cart
170	36242	cart
171	31687	cart
173	30415	cart
173	22221	cart
173	3679	cart
173	8356	cart
173	28275	cart
173	9622	cart
173	26750	cart
173	32584	cart
174	28641	cart
175	20465	cart
175	19906	cart
175	32651	cart
175	31873	cart
175	17955	cart
175	23639	cart
175	32251	cart
175	32947	cart
175	34071	cart
175	7179	cart
175	12868	cart
175	14136	cart
175	3074	cart
175	26933	cart
175	1143	cart
175	17269	cart
175	14699	cart
175	39115	cart
175	12013	cart
175	5266	cart
176	30662	cart
176	9720	cart
176	9469	cart
176	26564	cart
176	6138	cart
176	21536	cart
176	2032	cart
176	6214	cart
177	28620	cart
177	31785	cart
177	2842	cart
177	36087	cart
177	38082	cart
179	13362	cart
179	22124	cart
180	33766	cart
180	20048	cart
180	24718	cart
180	2410	cart
180	39411	cart
180	25994	cart
180	23837	cart
180	10145	cart
180	13495	cart
180	16218	cart
180	13060	cart
180	28401	cart
180	13263	cart
180	11713	cart
180	17091	cart
180	1363	cart
180	15567	cart
180	5589	cart
180	33696	cart
180	4676	cart
180	36113	cart
181	5307	cart
181	33151	cart
181	33196	cart
183	27185	cart
183	37111	cart
183	19575	cart
183	38500	cart
183	11777	cart
183	3414	cart
183	35509	cart
184	24550	cart
186	1627	cart
186	26689	cart
186	12264	cart
187	2627	cart
188	17200	cart
188	25879	cart
188	13471	cart
188	37412	cart
188	3074	cart
189	35546	cart
189	31294	cart
189	26165	cart
189	38562	cart
189	28404	cart
189	4170	cart
189	8880	cart
189	36467	cart
189	38367	cart
189	33803	cart
189	15816	cart
189	13042	cart
190	3613	cart
190	14618	cart
190	415	cart
190	38264	cart
190	6162	cart
190	32329	cart
190	34881	cart
190	31746	cart
192	27333	cart
194	15738	cart
194	13495	cart
194	10735	cart
194	3634	cart
194	30048	cart
194	32645	cart
194	20908	cart
195	26481	cart
195	28312	cart
195	17166	cart
195	38622	cart
195	12597	cart
195	33515	cart
196	4250	cart
196	5240	cart
196	3915	cart
196	32169	cart
196	32046	cart
197	1775	cart
197	10590	cart
198	2163	cart
198	22305	cart
198	14941	cart
198	3920	cart
198	35565	cart
198	19848	cart
198	17752	cart
200	33737	cart
200	13114	cart
200	31058	cart
200	14128	cart
200	33914	cart
200	35835	cart
200	15670	cart
200	10680	cart
200	4280	cart
200	5878	cart
200	9140	cart
200	31688	cart
200	25433	cart
200	18222	cart
200	38318	cart
200	32660	cart
201	22909	cart
201	10445	cart
204	499	cart
204	1290	cart
204	34529	cart
204	11134	cart
204	8057	cart
204	16260	cart
204	31723	cart
204	34395	cart
204	11511	cart
208	2359	cart
208	22952	cart
208	25436	cart
210	12105	cart
210	2136	cart
210	36977	cart
210	21611	cart
210	33147	cart
210	8190	cart
210	26543	cart
210	39015	cart
210	37889	cart
210	32444	cart
210	14551	cart
212	24198	cart
212	31716	cart
212	10991	cart
212	13512	cart
212	20865	cart
212	22276	cart
212	37042	cart
212	31089	cart
212	33862	cart
213	20755	cart
213	27068	cart
213	34364	cart
214	20179	cart
219	11421	cart
219	29391	cart
219	27229	cart
219	20356	cart
219	20256	cart
219	26935	cart
219	28723	cart
220	4399	cart
220	21957	cart
220	25808	cart
220	12506	cart
220	30233	cart
220	29832	cart
220	32319	cart
220	9431	cart
220	39224	cart
220	6372	cart
220	7918	cart
221	32108	cart
222	3992	cart
222	1413	cart
222	33809	cart
222	479	cart
222	3405	cart
222	26307	cart
222	21197	cart
222	15600	cart
223	37263	cart
224	9814	cart
224	13999	cart
224	32254	cart
224	17309	cart
224	21632	cart
224	26161	cart
226	15579	cart
226	13037	cart
226	22474	cart
226	2615	cart
226	4351	cart
226	19401	cart
226	1964	cart
227	17587	cart
227	14569	cart
227	1217	cart
227	20164	cart
227	5097	cart
227	33408	cart
228	19747	cart
228	6839	cart
228	26207	cart
228	16942	cart
230	7328	cart
231	19938	cart
231	36151	cart
232	5408	cart
233	12604	cart
234	30904	cart
234	32238	cart
234	22639	cart
234	5186	cart
234	20676	cart
234	2175	cart
234	35227	cart
235	37439	cart
237	4209	cart
237	22261	cart
237	17587	cart
237	27133	cart
239	32378	cart
239	19373	cart
239	20896	cart
240	3127	cart
240	21840	cart
240	38494	cart
240	21017	cart
240	25153	cart
240	12286	cart
240	3318	cart
240	18914	cart
241	20589	cart
241	16390	cart
241	34014	cart
241	37084	cart
241	6659	cart
241	4425	cart
241	14571	cart
242	37973	cart
242	10173	cart
242	7388	cart
242	1613	cart
242	3815	cart
242	21306	cart
242	7372	cart
242	30616	cart
242	7817	cart
242	7412	cart
242	17427	cart
242	36577	cart
242	8931	cart
242	30092	cart
242	3752	cart
242	32228	cart
243	26887	cart
243	12576	cart
243	6757	cart
243	23639	cart
243	36575	cart
243	37598	cart
244	6699	cart
244	26685	cart
246	26802	cart
246	37276	cart
246	1681	cart
246	31812	cart
246	17219	cart
246	32185	cart
246	24253	cart
246	37346	cart
246	35565	cart
247	32754	cart
247	1999	cart
247	10585	cart
247	5373	cart
247	13999	cart
248	22648	cart
248	4423	cart
248	19801	cart
249	39077	cart
249	4414	cart
249	12838	cart
249	7269	cart
249	12914	cart
249	28012	cart
250	12945	cart
251	22964	cart
251	22098	cart
251	20043	cart
251	13444	cart
251	25908	cart
251	35488	cart
251	18352	cart
251	16497	cart
251	8680	cart
251	6118	cart
253	14675	cart
253	21188	cart
253	31888	cart
253	23288	cart
253	38682	cart
253	25191	cart
255	311	cart
255	11469	cart
259	21436	cart
260	23280	cart
260	8651	cart
260	25839	cart
260	28794	cart
260	17129	cart
260	24979	cart
260	22211	cart
260	26068	cart
260	21513	cart
263	6886	cart
263	18834	cart
263	35907	cart
263	24456	cart
263	16833	cart
263	16265	cart
263	28556	cart
263	22194	cart
263	27078	cart
263	32468	cart
263	26962	cart
264	777	cart
264	35079	cart
265	17997	cart
265	23556	cart
266	34857	cart
266	24666	cart
266	37443	cart
266	36120	cart
267	27226	cart
267	34367	cart
267	1945	cart
267	1040	cart
268	22791	cart
268	24147	cart
268	38910	cart
268	25037	cart
268	14468	cart
268	2057	cart
270	29564	cart
270	14474	cart
270	15687	cart
270	15329	cart
270	2825	cart
270	22506	cart
270	24244	cart
270	24847	cart
270	8601	cart
270	10443	cart
270	37677	cart
270	37185	cart
270	7781	cart
270	3983	cart
270	27461	cart
270	12460	cart
270	8127	cart
271	12693	cart
271	26237	cart
271	13449	cart
271	8088	cart
271	38378	cart
271	19200	cart
272	23840	cart
272	33664	cart
272	10798	cart
272	20991	cart
272	34487	cart
272	1416	cart
272	3876	cart
272	30382	cart
272	35979	cart
273	14529	cart
273	4734	cart
273	13541	cart
273	1358	cart
273	107	cart
273	29557	cart
273	38159	cart
274	28442	cart
274	5911	cart
274	36301	cart
274	13348	cart
274	22308	cart
276	14517	cart
276	34747	cart
278	21566	cart
278	12743	cart
278	37762	cart
278	6118	cart
278	14119	cart
281	25401	cart
281	26377	cart
281	23270	cart
281	38321	cart
281	14646	cart
282	15233	cart
282	28554	cart
282	17988	cart
282	35039	cart
282	38647	cart
282	5266	cart
282	14016	cart
282	8962	cart
283	5354	cart
283	15866	cart
283	10101	cart
283	28558	cart
285	25455	cart
285	24398	cart
285	29358	cart
285	14141	cart
285	18642	cart
286	23018	cart
286	5507	cart
286	24113	cart
286	33854	cart
286	39102	cart
286	14289	cart
286	10854	cart
286	8994	cart
286	20066	cart
286	31716	cart
287	339	cart
287	13744	cart
287	1402	cart
287	1678	cart
287	39385	cart
287	38986	cart
287	13797	cart
287	29487	cart
287	14294	cart
287	15102	cart
287	13901	cart
288	16488	cart
289	37871	cart
289	26192	cart
290	9246	cart
291	24629	cart
291	3560	cart
291	36812	cart
291	15622	cart
291	28958	cart
291	2324	cart
292	36075	cart
292	28516	cart
292	11084	cart
292	6253	cart
292	34052	cart
293	2902	cart
293	4154	cart
293	23530	cart
293	33453	cart
294	1224	cart
295	8308	cart
295	35290	cart
295	23280	cart
295	38086	cart
295	14585	cart
295	7015	cart
296	30127	cart
296	10899	cart
296	8365	cart
296	9759	cart
296	4365	cart
296	38627	cart
296	3053	cart
297	31936	cart
297	5196	cart
297	8425	cart
297	11075	cart
297	11775	cart
297	13395	cart
297	33845	cart
297	24821	cart
298	14159	cart
298	31498	cart
300	21943	cart
300	8959	cart
300	11512	cart
300	26919	cart
300	16454	cart
300	17168	cart
300	6283	cart
300	5407	cart
300	27143	cart
300	29604	cart
300	23153	cart
300	7835	cart
301	30058	cart
301	36022	cart
301	13590	cart
301	20068	cart
302	5883	cart
302	28219	cart
302	31177	cart
303	5881	cart
303	107	cart
303	11172	cart
303	37325	cart
303	6103	cart
303	21777	cart
303	16580	cart
303	19057	cart
303	4052	cart
303	11036	cart
304	3242	cart
305	34354	cart
305	4288	cart
305	2212	cart
306	19093	cart
306	5607	cart
306	6036	cart
306	16587	cart
308	664	cart
308	35197	cart
308	35435	cart
308	35413	cart
308	5253	cart
308	4232	cart
309	6462	cart
309	32916	cart
309	5502	cart
309	24023	cart
309	36886	cart
309	14339	cart
309	21933	cart
309	31769	cart
309	15195	cart
309	31864	cart
310	18746	cart
310	9626	cart
310	4397	cart
310	775	cart
310	38695	cart
310	13086	cart
311	10934	cart
312	38516	cart
312	10477	cart
312	31072	cart
312	5206	cart
313	35135	cart
313	2832	cart
313	28801	cart
315	33931	cart
315	17739	cart
315	31644	cart
315	12141	cart
316	28298	cart
316	10592	cart
316	37997	cart
316	18284	cart
316	18597	cart
316	663	cart
316	9222	cart
316	30926	cart
316	31070	cart
316	35597	cart
316	21163	cart
316	22356	cart
316	32158	cart
316	23952	cart
316	15682	cart
316	23156	cart
316	13568	cart
316	37141	cart
316	37836	cart
317	4003	cart
317	23949	cart
317	18147	cart
317	25401	cart
318	30248	cart
318	30897	cart
318	3904	cart
319	22944	cart
319	23949	cart
319	33943	cart
319	8276	cart
320	39161	cart
320	33405	cart
320	9232	cart
321	16775	cart
321	34942	cart
321	5352	cart
321	18970	cart
321	11249	cart
321	35780	cart
321	9309	cart
321	5822	cart
321	30338	cart
322	34547	cart
322	39100	cart
322	1193	cart
322	27547	cart
322	14319	cart
322	21867	cart
322	29703	cart
322	16942	cart
322	4292	cart
322	27059	cart
323	3901	cart
323	9946	cart
323	23008	cart
323	10494	cart
323	5412	cart
323	12245	cart
323	19932	cart
323	38682	cart
323	21702	cart
323	11512	cart
324	2109	cart
324	19079	cart
324	30375	cart
324	14925	cart
324	3087	cart
324	39334	cart
324	31554	cart
324	32343	cart
324	16209	cart
324	17962	cart
324	39217	cart
325	9999	cart
325	1060	cart
325	33934	cart
325	5336	cart
325	21919	cart
325	2612	cart
326	11523	cart
328	9658	cart
328	19432	cart
328	8758	cart
328	3947	cart
328	20985	cart
328	30789	cart
328	14064	cart
329	10321	cart
329	9563	cart
329	29312	cart
329	29022	cart
329	6820	cart
329	10142	cart
329	24073	cart
331	4945	cart
332	35635	cart
332	12598	cart
332	3169	cart
332	6204	cart
333	38164	cart
333	27362	cart
333	26808	cart
334	3455	cart
334	29272	cart
334	17153	cart
334	27407	cart
334	25566	cart
334	20479	cart
334	5234	cart
334	16788	cart
335	14989	cart
335	1969	cart
335	17055	cart
335	33774	cart
336	23278	cart
337	10726	cart
337	6676	cart
337	17605	cart
337	37191	cart
337	5467	cart
337	16179	cart
338	37970	cart
338	37799	cart
338	31336	cart
338	10713	cart
338	27400	cart
338	16194	cart
338	18759	cart
338	31378	cart
338	23636	cart
338	18731	cart
338	13366	cart
338	19733	cart
339	24082	cart
342	22606	cart
342	20436	cart
342	2277	cart
342	18270	cart
345	9563	cart
345	33034	cart
346	16328	cart
346	16856	cart
346	26513	cart
346	2096	cart
347	25801	cart
347	23412	cart
347	31932	cart
347	26560	cart
347	31351	cart
347	7202	cart
347	17930	cart
347	11045	cart
347	16354	cart
347	1725	cart
348	6176	cart
348	39477	cart
348	14644	cart
348	37039	cart
348	39455	cart
348	21703	cart
348	3318	cart
348	9710	cart
349	21330	cart
350	2430	cart
350	31879	cart
350	24550	cart
350	18857	cart
350	21314	cart
350	17040	cart
350	35394	cart
350	10834	cart
351	21158	cart
352	10155	cart
352	7406	cart
352	27753	cart
352	5720	cart
352	19349	cart
352	39077	cart
352	5513	cart
354	9753	cart
355	8891	cart
355	1671	cart
355	8414	cart
355	7306	cart
355	16734	cart
355	10167	cart
355	19093	cart
355	38927	cart
355	16290	cart
358	7957	cart
358	12578	cart
358	2316	cart
358	26502	cart
360	36636	cart
361	33327	cart
361	616	cart
361	20442	cart
361	15550	cart
361	35829	cart
361	24255	cart
361	22303	cart
361	3922	cart
361	3989	cart
362	4177	cart
362	9149	cart
363	10444	cart
364	30571	cart
364	1222	cart
364	5693	cart
364	33066	cart
364	4104	cart
364	20001	cart
364	9839	cart
364	13734	cart
364	12370	cart
364	32982	cart
365	34446	cart
365	12284	cart
365	16841	cart
365	28237	cart
365	32871	cart
366	27310	cart
366	31297	cart
366	27767	cart
366	22905	cart
366	35315	cart
367	36152	cart
368	5144	cart
368	4595	cart
368	47	cart
368	29018	cart
368	20590	cart
368	33246	cart
368	22755	cart
369	22277	cart
369	1276	cart
369	1069	cart
369	36831	cart
369	22718	cart
369	8089	cart
369	11048	cart
369	10076	cart
369	11503	cart
369	11544	cart
369	35181	cart
369	12589	cart
369	22639	cart
370	6560	cart
370	7535	cart
370	38718	cart
371	9985	cart
371	16194	cart
371	3088	cart
371	13313	cart
371	8683	cart
373	9141	cart
373	4687	cart
374	34889	cart
374	34444	cart
374	12547	cart
374	13243	cart
374	6066	cart
376	1964	cart
376	16454	cart
376	5048	cart
376	38602	cart
376	22813	cart
376	25970	cart
377	12351	cart
377	11134	cart
377	13923	cart
378	18472	cart
378	22475	cart
378	16359	cart
378	11793	cart
379	34310	cart
379	36058	cart
379	4420	cart
379	11073	cart
380	22625	cart
380	24761	cart
380	23141	cart
380	6444	cart
380	4601	cart
382	5965	cart
382	4616	cart
382	13884	cart
382	9013	cart
385	21943	cart
385	37469	cart
385	32702	cart
385	8737	cart
385	31100	cart
385	28823	cart
385	3443	cart
385	34976	cart
385	29159	cart
385	12391	cart
385	4993	cart
385	19437	cart
385	23288	cart
385	22319	cart
385	8094	cart
385	10108	cart
385	33394	cart
385	13119	cart
385	8696	cart
387	38620	cart
387	20129	cart
387	24763	cart
387	16491	cart
387	28082	cart
387	14241	cart
387	20728	cart
387	36737	cart
387	23715	cart
387	17522	cart
387	8569	cart
387	5795	cart
387	33348	cart
387	38295	cart
387	34759	cart
387	25255	cart
388	3045	cart
389	33967	cart
391	32558	cart
391	2663	cart
391	16347	cart
391	30958	cart
392	29669	cart
392	7647	cart
392	32237	cart
394	16313	cart
395	757	cart
395	12287	cart
395	24825	cart
395	5523	cart
395	24755	cart
397	15197	cart
397	30013	cart
397	20758	cart
397	12655	cart
397	28801	cart
397	26909	cart
398	12511	cart
398	8356	cart
398	26712	cart
398	32189	cart
398	8478	cart
398	704	cart
398	9506	cart
398	7331	cart
399	2557	cart
399	34646	cart
399	35156	cart
399	23118	cart
399	6264	cart
399	24278	cart
399	21825	cart
399	10934	cart
399	4590	cart
400	3428	cart
400	9048	cart
400	24056	cart
400	24040	cart
400	25232	cart
400	27374	cart
400	14549	cart
400	36770	cart
400	10564	cart
400	15563	cart
400	24677	cart
400	29343	cart
400	22497	cart
400	2633	cart
400	8164	cart
400	14307	cart
401	28945	cart
401	4133	cart
401	24264	cart
402	21161	cart
402	5693	cart
402	3557	cart
402	23597	cart
402	11777	cart
402	19266	cart
403	38907	cart
403	10835	cart
403	18389	cart
403	15763	cart
403	17793	cart
403	12745	cart
404	33151	cart
404	39191	cart
404	5335	cart
404	16165	cart
405	34925	cart
405	22813	cart
406	36551	cart
406	11699	cart
406	21114	cart
406	16901	cart
406	660	cart
406	14487	cart
406	27617	cart
406	34810	cart
406	7058	cart
407	23948	cart
407	9348	cart
409	37148	cart
409	38450	cart
409	2955	cart
409	962	cart
409	11374	cart
409	3416	cart
410	32344	cart
411	18826	cart
411	19355	cart
412	29193	cart
412	11793	cart
412	29220	cart
412	15143	cart
412	13245	cart
412	7162	cart
412	30796	cart
412	30176	cart
414	35704	cart
414	18982	cart
414	33474	cart
414	37997	cart
416	30418	cart
416	9874	cart
416	17522	cart
416	19951	cart
416	17793	cart
417	1819	cart
417	3853	cart
417	37354	cart
418	37696	cart
418	36261	cart
419	23025	cart
419	3487	cart
419	26122	cart
419	349	cart
419	22499	cart
419	13049	cart
420	16478	cart
422	18559	cart
422	17556	cart
422	31928	cart
422	17264	cart
422	4595	cart
422	29673	cart
422	38894	cart
423	27089	cart
424	5958	cart
424	4739	cart
424	35564	cart
424	20415	cart
424	35532	cart
424	38379	cart
425	24557	cart
425	8651	cart
425	20559	cart
425	6692	cart
425	16119	cart
425	26782	cart
425	34708	cart
425	24077	cart
425	18470	cart
427	5078	cart
