uid	sid
195	10471
195	14186
195	28312
195	26481
196	31923
196	2757
196	21843
196	29388
197	35525
197	38180
197	35732
197	30142
197	15575
198	39140
198	25462
198	26947
199	12198
199	11902
199	13089
199	1150
199	21991
199	18206
199	1236
200	21538
200	9140
200	23010
200	5785
200	1370
200	1292
200	2970
200	32540
200	10592
200	5878
201	36221
201	2459
201	14701
201	2791
201	4023
202	36254
202	14505
202	4558
202	22316
202	3887
203	23063
203	27662
203	2237
203	32451
203	26573
204	16840
204	31723
204	15054
204	26934
204	14020
204	14002
204	16260
204	10153
205	2692
205	39116
205	36698
205	17431
206	18863
206	9567
206	35247
207	36592
207	20985
207	10144
208	18569
208	13649
208	9244
209	32023
209	36979
209	29345
209	38804
209	35737
210	10468
210	8190
210	32444
210	6988
211	16531
211	35061
211	12163
211	11815
211	13208
212	20865
212	27663
212	18029
212	16996
213	7421
213	39110
213	13021
214	33466
214	29644
214	9309
214	30088
215	24651
215	34772
215	22639
215	9973
215	25088
215	30576
215	19914
215	12264
215	5234
215	18338
215	20257
215	26214
215	1728
215	30496
215	22221
215	39320
215	30498
215	9688
215	8911
215	24536
215	7
215	20066
215	25433
215	16513
215	31171
215	10850
215	821
215	6659
215	29604
216	11769
216	18271
216	39422
216	11634
217	9209
217	17503
217	4833
217	35718
217	34867
218	13452
218	25847
218	13202
219	29557
219	29857
219	29881
220	36382
220	12506
220	32319
221	36858
221	19683
221	9333
222	6855
222	35251
222	13342
222	33934
223	37576
223	36762
223	13317
223	24905
223	30659
224	32254
224	25568
224	13471
224	16545
225	9033
225	35808
225	36698
225	10448
225	35580
226	24300
226	2481
226	39322
227	6414
227	1217
227	5097
228	6839
228	32453
228	16942
229	21974
229	27112
229	10845
230	23141
230	29746
230	7328
231	10873
231	2663
231	26851
231	12820
232	39191
232	5444
232	5668
233	25359
233	10700
233	12604
234	35950
234	757
234	2175
235	29345
235	7980
235	23849
235	15928
236	1921
236	4300
236	28044
236	29787
236	33558
237	26718
237	29054
237	6462
237	29539
238	6801
238	17120
238	26412
238	14723
239	12688
239	14578
239	8487
240	23335
240	26678
240	20752
240	25153
241	14571
241	25270
241	34024
241	16921
242	27664
242	27682
242	21306
242	14300
243	2421
243	37707
243	13573
244	19338
244	34330
244	26685
244	37033
244	10400
244	3627
245	16954
245	11048
245	9235
246	33828
246	35372
246	37233
247	5373
247	10585
247	21046
248	4423
248	28696
248	32235
248	22648
248	25946
248	28962
249	6423
249	37892
249	30005
249	38147
250	29902
250	20712
250	2274
250	8038
250	33979
250	11610
250	23830
250	2075
250	35114
251	18190
251	39170
251	4523
251	8238
251	26660
251	18352
252	3656
252	27240
252	22889
253	31888
253	6547
253	16056
254	2806
254	18915
254	15993
254	36242
254	37319
254	38385
254	20966
255	26114
255	27128
255	15456
256	17519
256	17540
256	12087
257	24302
257	31839
257	939
257	7994
258	20549
258	4713
258	11760
259	22253
259	31678
259	12200
259	21939
259	23064
260	17129
260	13707
260	24851
260	15980
261	10107
261	36806
261	11769
262	24746
262	31874
262	38288
263	16265
263	35907
263	24456
264	28496
264	8905
264	34842
265	35454
265	13494
265	17997
266	74
266	38956
266	13321
266	34804
266	10093
266	2222
266	34857
266	23944
266	18307
267	7716
267	6314
267	1040
268	33609
268	24665
268	340
269	20758
269	3346
269	29654
269	25116
270	3693
270	30366
270	12533
270	38603
271	29468
271	25769
271	18936
272	34487
272	30382
272	23840
272	35979
273	31501
273	8874
273	17810
273	29557
273	23973
273	7669
273	4734
273	16870
273	9571
273	36554
273	8319
274	27069
274	22737
274	37124
275	28208
275	18178
275	11074
275	34180
275	17704
276	8369
276	14546
276	14517
276	33042
276	9551
276	5459
277	10811
277	25829
277	39277
277	4034
277	20460
278	33334
278	13933
278	17276
278	6118
279	13199
279	36090
279	30325
279	8457
279	29791
280	20445
280	24409
280	16513
281	26377
281	23270
281	25401
282	14016
282	5266
282	19264
283	20452
283	28558
283	5797
284	36965
284	28985
284	16338
284	28018
284	20410
284	17249
284	37114
284	27661
284	32399
285	38270
285	23359
285	13017
285	2844
285	36854
286	15446
286	26648
286	19518
287	21103
287	24697
287	31277
287	24150
288	12932
288	36003
288	37754
289	17065
289	1372
289	4831
290	35953
290	37178
290	17020
291	18518
291	20399
291	8324
291	37321
291	19792
291	20469
291	12317
291	5362
291	28958
292	33628
292	36075
292	28516
292	21936
292	38947
293	2902
293	33453
293	31715
294	9191
294	7979
294	38035
294	21381
295	12106
295	24496
295	32435
295	5071
296	8365
296	26329
296	35780
296	23619
296	26970
296	33966
296	25702
297	27593
297	8394
297	18790
298	17685
298	668
298	39321
298	25270
298	14871
298	821
298	24659
299	5672
299	28415
299	10130
299	28148
299	32335
300	29604
300	26394
300	16704
300	35050
300	26919
301	2402
301	20068
301	37711
301	2176
301	14859
301	9704
301	28408
302	9070
302	12696
302	28219
303	10835
303	29523
303	5881
303	27385
303	4253
303	21910
303	4052
303	11878
304	7997
304	23896
304	7773
304	12591
305	6578
305	24172
305	37644
306	22667
306	3103
306	30280
307	14810
307	38794
307	27996
308	25433
308	4232
308	1378
308	35413
308	29238
309	32916
309	32132
309	6462
309	29812
309	2400
310	25004
310	26357
310	9652
311	24739
311	25490
311	34164
312	2974
312	22574
312	38516
312	31072
313	11203
313	36999
313	20094
314	17864
314	32184
314	23302
314	4467
314	16239
315	17739
315	5599
315	28236
316	21498
316	31000
316	31276
316	12252
317	25401
317	26388
317	28639
317	6523
317	25143
317	12701
318	13555
318	23114
318	18857
319	15529
319	215
319	22918
320	15845
320	4669
320	28921
320	38320
321	27496
321	6214
321	17394
322	10296
322	21867
322	27059
322	4292
322	4825
323	27002
323	3384
323	20382
323	29196
324	20992
324	11312
324	24548
324	19079
324	13666
324	7353
324	511
324	26701
324	22236
325	1995
325	5336
325	23082
326	6869
326	37473
326	8556
327	13864
327	32230
327	21936
328	13479
328	26689
328	27021
328	3755
329	4504
329	3767
329	29312
329	29022
330	7995
330	35683
330	9022
331	18949
331	14640
331	30769
332	38412
332	26524
332	21078
333	26808
333	38097
333	25737
334	38575
334	16788
334	17153
334	6990
334	12466
335	19538
335	19199
335	5159
336	8106
336	14730
336	23278
336	9269
337	7711
337	8948
337	9459
338	36247
338	23444
338	36084
338	23636
339	29341
339	4758
339	19330
339	6908
339	38545
340	20415
340	34346
340	11868
340	29532
340	9476
341	23479
341	38835
341	20560
341	3497
342	29055
342	2277
342	861
342	20988
342	13447
342	11653
342	17856
342	21071
343	8503
343	31716
343	4416
343	904
343	14857
344	5693
344	37385
344	8759
344	12104
344	18048
345	33963
345	10230
345	31598
345	9956
345	24958
345	11316
345	15291
345	35704
345	34120
345	29377
345	32453
345	33283
346	2096
346	5925
346	29344
346	13977
347	1725
347	7202
347	11045
347	17930
347	8715
348	39450
348	6536
348	1162
348	27294
349	7053
349	31451
349	19987
349	17445
349	7631
349	23607
349	34322
349	6389
350	18857
350	24550
350	11386
351	15654
351	35434
351	9365
352	2346
352	10155
352	25444
353	34423
353	8503
353	7523
353	38082
354	23117
354	10112
354	604
355	19790
355	31517
355	16290
356	33511
356	37286
356	23141
357	5899
357	2575
357	24298
357	23481
358	1410
358	22221
358	10705
358	12578
359	35374
359	21527
359	15846
359	714
359	13973
359	8418
360	25100
360	22646
360	12953
360	24487
360	37010
361	35829
361	32477
361	27141
361	30481
361	4036
362	28878
362	29523
362	23849
363	21411
363	39319
363	10035
364	20001
364	12370
364	30571
364	13734
365	26946
365	25593
365	37951
365	9478
365	32871
366	196
366	33284
366	25967
366	16594
367	8002
367	13553
367	14957
368	14208
368	16732
368	32588
368	8881
368	344
368	8276
368	3507
368	12678
368	25264
368	17447
368	20066
368	29059
368	31716
368	15781
368	36549
368	21257
368	13991
368	17817
369	35181
369	1276
369	8089
370	27927
370	9766
370	24663
371	14585
371	14967
371	39035
371	12949
372	24951
372	28624
372	4122
373	32078
373	4352
373	34492
373	23207
373	19821
373	9141
374	2966
374	39
374	24047
375	12408
375	34620
375	8457
375	11074
375	13208
375	18121
375	16616
376	668
376	12222
376	38148
377	12351
377	11134
377	16806
378	31929
378	3658
378	5991
379	34310
379	32340
379	22557
379	30949
379	25229
379	12370
379	30571
379	30327
379	29934
380	14392
380	22625
380	23141
381	26881
381	11740
381	5713
382	17539
382	21427
382	33986
383	15764
383	7889
383	11069
383	19643
384	38646
384	25099
384	31753
384	19653
384	22632
384	34200
384	9289
384	20906
384	28122
384	6060
384	29751
385	34804
385	23288
385	22550
386	39115
386	18135
386	13495
387	11048
387	15594
387	24763
388	25341
388	3045
388	19745
389	30882
389	21645
389	17309
390	22034
390	15542
390	37876
391	2541
391	13906
391	11964
392	29669
392	18431
392	1908
393	17827
393	547
393	24615
394	20586
394	35092
394	35836
394	27887
395	27240
395	6591
395	21031
395	23849
396	7406
396	29167
396	36068
396	6501
397	11392
397	20758
397	13896
397	28801
398	26712
398	9268
398	8812
399	13220
399	24522
399	6264
399	3030
400	38021
400	36370
400	10564
401	24264
401	28945
401	8
402	18151
402	19266
402	7064
402	22573
403	29440
403	38614
403	19915
404	33778
404	18619
404	32345
405	13207
405	12133
405	26540
406	2928
406	20107
406	26253
407	5165
407	21932
407	25933
407	32868
407	9348
408	2492
408	24116
408	36871
408	10705
408	4158
409	11374
409	23774
409	962
409	20466
409	3416
409	5285
409	9902
410	33105
410	36015
410	14085
411	29940
411	36732
411	13310
411	22329
411	5055
411	36322
411	1196
412	15143
412	29193
412	18817
412	2969
413	32361
413	14701
413	17901
414	34641
414	21163
414	33474
415	23113
415	22326
415	17095
416	26303
416	26969
416	17309
416	3952
417	4528
417	2909
417	18952
417	7638
417	7645
417	18662
417	4170
417	6571
417	4097
418	24422
418	26780
418	362
418	6419
418	12146
418	32467
418	27417
419	28589
419	37577
419	14154
420	16757
420	26628
420	8106
420	13613
421	36833
421	19555
421	14767
421	27916
421	520
422	25340
422	23122
422	2024
422	12837
422	37640
422	8546
422	20644
422	9897
422	16695
422	22310
422	12571
422	19636
422	38353
422	6976
423	3768
423	6080
423	37306
423	12158
424	5349
424	29074
424	23424
424	17424
425	5334
425	18470
425	16119
426	32996
426	28824
426	31447
427	13642
427	555
427	6137
428	33155
428	36133
428	26479
428	17047
429	16643
429	37138
429	7180
430	27298
430	20048
430	28309
430	6824
430	11803
430	26953
430	24332
430	32566
430	8138
430	21677
430	39191
430	14208
430	17164
430	32025
430	4051
430	30556
430	26863
430	23948
430	801
430	13097
430	4872
430	23386
431	26583
431	5762
431	11777
431	34274
431	21368
432	25547
432	31564
432	2520
432	553
432	25500
432	148
432	7745
432	11137
432	5227
433	12856
433	17880
433	36448
433	2539
434	36254
434	10720
434	20183
435	13265
435	20540
435	29975
435	24729
435	32893
436	19827
436	27999
436	35423
436	39448
436	31402
437	35635
437	7518
437	17346
437	23811
437	9553
438	14526
438	16502
438	2753
439	23227
439	1031
439	9652
439	35291
440	23974
440	4143
440	7798
441	34435
441	13298
441	29952
441	1024
442	28500
442	18405
442	13208
443	16459
443	4728
443	24113
443	18988
443	35998
444	35214
444	13339
444	20740
444	9606
444	20404
444	25772
445	24688
445	35824
445	23299
446	32572
446	20960
446	4263
447	31754
447	19710
447	29029
448	22094
448	30771
448	7561
448	12266
448	3982
448	4558
449	12490
449	26881
449	14319
450	5782
450	20013
450	8002
451	33473
451	11392
451	2389
451	5503
452	37246
452	3519
452	13497
453	35265
453	31072
453	31032
453	12228
453	13326
453	6316
453	24749
453	34129
453	4002
453	4212
454	35787
454	2676
454	37059
455	32261
455	6026
455	3519
455	21412
455	17916
456	25969
456	26309
456	32374
456	26989
456	22196
457	2224
457	28579
457	10434
458	32893
458	5407
458	36111
459	38288
459	9536
459	22915
460	25050
460	2881
460	5439
460	13353
460	8469
460	19735
460	26028
460	2657
460	37836
460	4711
460	13208
460	36322
460	31030
460	34282
460	17269
461	3821
461	13984
461	15211
461	35930
461	14503
461	8610
462	34365
462	32822
462	19778
463	6002
463	12035
463	3210
463	5043
463	36592
463	35776
463	13312
464	9626
464	1320
464	13438
465	17284
465	8759
465	37538
466	22544
466	16244
466	26988
466	33435
466	26341
467	19671
467	14037
467	34176
467	18717
467	7994
468	1664
468	17068
468	10768
469	5186
469	23849
469	21719
470	35357
470	15346
470	15040
471	36097
471	22831
471	25859
471	32219
472	903
472	28926
472	707
473	22574
473	8580
473	16326
474	3107
474	12141
474	12257
474	30378
474	39012
475	4605
475	21869
475	36396
475	7469
475	31400
475	26688
475	13252
476	26881
476	4307
476	29651
477	593
477	35383
477	9284
477	8222
478	9601
478	30894
478	24749
479	19765
479	33558
479	36369
479	2148
479	9103
480	16132
480	1270
480	34952
481	5461
481	35244
481	11375
481	11109
482	1436
482	36244
482	2547
483	154
483	11555
483	6115
483	35395
483	17006
483	32558
483	2663
483	36436
483	28694
483	17276
483	27014
483	35740
483	38457
483	8912
484	38424
484	28554
484	24186
485	16221
485	7268
485	35246
485	6475
486	11048
486	26043
486	19589
486	3092
486	28616
487	18029
487	27383
487	18802
488	30600
488	31039
488	1374
489	6426
489	37578
489	19072
490	31965
490	25315
490	31431
491	35723
491	27562
491	32184
491	5775
491	6253
492	3896
492	39069
492	14081
492	8183
493	4163
493	33655
493	37369
493	3002
494	7971
494	33657
494	29161
494	38760
495	10345
495	20197
495	32570
495	33321
496	11059
496	39231
496	11736
496	29120
496	22152
497	33751
497	7442
497	19648
498	6150
498	35846
498	14158
499	30423
499	18517
499	22847
499	17094
500	12417
500	8622
500	30204
501	27564
501	18670
501	19116
501	24465
502	645
502	22054
502	7430
503	21950
503	22954
503	37994
504	2504
504	24336
504	34380
504	33410
505	30363
505	30533
505	22625
506	7183
506	21222
506	24390
507	12052
507	26976
507	24864
508	4309
508	10350
508	27475
509	24198
509	7628
509	16583
509	34286
510	33660
510	11977
510	14342
511	16392
511	4635
511	14859
512	22457
512	31916
512	6188
512	3799
513	11352
513	3024
513	967
514	13280
514	18885
514	35908
515	18441
515	20395
515	3027
515	31733
515	3295
515	3210
516	18157
516	36284
516	30069
516	36026
517	24639
517	6894
517	18472
517	28762
517	19105
517	11793
517	27828
517	10445
517	11833
518	35227
518	15850
518	37675
519	28629
519	26312
519	7327
520	24595
520	33544
520	16913
521	24035
521	29350
521	24472
521	16005
521	36864
521	11750
522	4344
522	31267
522	31676
523	4250
523	9299
523	4577
523	20543
523	7995
523	24643
523	13756
523	25971
523	35037
524	24069
524	8222
524	18376
525	1883
525	6887
525	23657
525	15974
525	24718
526	3145
526	35435
526	16488
526	14371
527	29615
527	1926
527	16904
528	38494
528	25288
528	36614
529	17868
529	5487
529	26050
530	38715
530	2183
530	33420
531	21276
531	13028
531	28636
531	18857
531	38707
532	13115
532	20855
532	38922
532	17465
533	12124
533	38295
533	12741
533	35532
533	18921
534	27360
534	34115
534	14992
534	107
534	780
534	27841
534	31498
534	37898
534	35388
535	30062
535	8706
535	19199
536	28371
536	8086
536	9527
537	10159
537	19140
537	31072
537	17366
537	38516
537	6580
537	9190
537	15453
537	19437
537	38892
537	12244
537	513
537	651
537	30393
537	22658
538	27290
538	33760
538	25901
539	26214
539	37836
539	16053
540	3444
540	10538
540	10767
540	39271
541	1148
541	27008
541	22605
542	18988
542	25286
542	31415
543	1171
543	12215
543	39120
543	30738
543	21840
543	7929
543	30240
543	6000
543	24750
544	6084
544	28740
544	16429
545	21359
545	24417
545	26774
545	15994
546	35453
546	36422
546	15764
547	18780
547	8055
547	31716
547	102
548	35713
548	5921
548	1843
548	13143
548	31483
548	891
548	32219
548	22367
548	30242
549	36113
549	28997
549	1070
550	16738
550	6759
550	11254
550	2518
550	23518
550	6864
550	32066
550	37860
550	21548
551	6936
551	12406
551	38451
551	27118
551	10451
552	37093
552	30303
552	29054
552	26148
552	16241
553	9984
553	36800
553	9171
554	18801
554	17742
554	3496
555	8334
555	34299
555	22296
555	11177
555	34940
555	8217
556	20234
556	26629
556	25120
556	30161
556	34490
556	36667
556	31973
556	4416
556	3046
557	39066
557	14316
557	8954
557	2512
558	23201
558	7385
558	10768
558	37396
559	4891
559	4813
559	32609
560	35785
560	7191
560	14450
560	13156
560	11238
560	7601
561	37914
561	25928
561	25781
562	38675
562	23435
562	37147
562	26672
563	18014
563	19087
563	3164
564	29644
564	4197
564	20733
565	5828
565	32762
565	24062
565	3255
565	6782
566	6686
566	14206
566	16313
567	10735
567	35724
567	20752
567	37246
567	38184
567	28122
568	22939
568	19301
568	26609
568	25737
569	32798
569	15803
569	38403
570	36426
570	30937
570	30136
570	35083
570	8718
570	14906
571	24678
571	3104
571	7322
572	27951
572	23199
572	29583
573	7919
573	39447
573	37478
574	11746
574	27892
574	23658
574	10203
574	3319
575	36133
575	6868
575	1750
576	1133
576	14143
576	28768
577	21784
577	29161
577	38760
577	38682
578	6866
578	1986
578	6268
579	31837
579	31578
579	26689
580	14519
580	4452
580	29812
581	28609
581	37738
581	10637
582	19133
582	17610
582	15584
582	26763
583	27099
583	33374
583	8569
584	26838
584	36035
584	13606
584	37147
584	20115
584	30650
584	26872
585	5332
585	12890
585	18156
585	3349
586	539
586	18799
586	14407
586	20620
587	4057
587	19284
587	9411
587	2562
587	28867
588	5385
588	4325
588	7669
588	32825
588	266
589	5801
589	36237
589	4979
590	24734
590	13726
590	33585
591	9446
591	12226
591	24330
592	25409
592	18736
592	1333
592	7976
592	21607
593	33293
593	36745
593	3770
593	1490
593	6541
594	780
594	24436
594	22927
594	2934
595	19782
595	1664
595	25511
595	10562
596	1818
596	25059
596	22163
596	34585
597	23956
597	25863
597	18402
597	30227
598	25192
598	2557
598	28520
599	16341
599	13832
599	22599
599	28696
599	17044
599	10894
599	19424
600	6082
600	16285
600	9171
600	9232
601	32618
601	27400
601	13809
601	13116
602	12959
602	26693
602	668
602	11387
602	12998
602	23259
602	27715
602	26688
602	13710
602	24254
602	2078
602	8652
602	29874
602	29830
602	851
602	553
602	4197
602	25221
602	10592
602	18856
602	3755
602	36341
602	7818
602	17529
602	15324
602	6306
602	21836
602	19610
603	27232
603	33270
603	4662
604	16221
604	10835
604	1858
605	33804
605	31081
605	21772
605	34753
605	24393
606	32311
606	38493
606	25105
606	19410
607	19647
607	7980
607	2356
607	23849
608	7185
608	2215
608	1897
608	8768
608	27978
608	31151
608	2247
608	30071
609	21088
609	39316
609	39407
610	21704
610	38412
610	35533
610	5697
610	37147
610	17748
610	8874
611	23156
611	11189
611	2386
612	14353
612	7520
612	39327
613	9956
613	6465
613	34578
614	23840
614	2520
614	30204
614	28155
614	8825
614	11501
614	29459
614	25354
615	7162
615	31441
615	4601
615	17246
616	8191
616	36407
616	24842
617	20364
617	3372
617	13314
618	25035
618	35811
618	9701
618	7914
618	23907
618	1782
618	14113
618	12370
618	9222
618	39159
618	10603
618	32590
619	31451
619	25211
619	13689
619	2275
620	9611
620	28296
620	22806
620	6790
621	13188
621	27774
621	4475
622	1147
622	22905
622	9629
623	29950
623	20395
623	11905
623	35512
624	963
624	2025
624	36235
625	11778
